timestamp,offset_m,curvature_m,confidence,steering_cmd,throttle_cmd,left_pixels,right_pixels
1775622546.260,0.0024,120.14,1.00,0.0000,0.000,17906,9889
1775622546.296,0.0025,9562.62,1.00,0.0000,0.000,17759,9989
1775622546.336,0.0022,81.38,1.00,0.0000,0.000,17911,9929
1775622546.373,0.0024,150.31,1.00,0.0000,0.000,17887,9580
1775622546.409,0.0026,5030.61,1.00,0.0000,0.000,17913,9917
1775622546.444,0.0027,117.69,1.00,0.0000,0.000,17805,10332
1775622546.479,0.0024,274.60,1.00,0.0000,0.000,17995,10405
1775622546.515,0.0024,631.37,1.00,0.0000,0.000,18005,9890
1775622546.551,0.0026,102.56,1.00,0.0000,0.000,18108,10249
1775622546.597,0.0028,148.63,1.00,0.0000,0.000,17924,9967
1775622546.633,0.0026,61.88,1.00,0.0000,0.000,18131,9497
1775622546.668,0.0027,156.01,1.00,0.0000,0.000,17787,10311
1775622546.703,0.0024,185.72,1.00,0.0000,0.000,17705,9639
1775622546.737,0.0028,74.19,1.00,0.0000,0.000,17994,10187
1775622546.773,0.0023,95.00,1.00,0.0000,0.000,17870,9575
1775622546.817,0.0027,133.27,1.00,0.0000,0.000,18035,10096
1775622546.853,0.0027,106.40,1.00,0.0000,0.000,17856,10035
1775622546.890,0.0029,605.60,1.00,0.0000,0.000,17955,10086
1775622546.924,0.0024,87.72,1.00,0.0000,0.000,17809,9162
1775622546.959,0.0029,135.49,1.00,0.0000,0.000,17924,9914
1775622547.008,0.0024,115.89,1.00,0.0000,0.000,18288,10079
1775622547.043,0.0024,1379.41,1.00,0.0000,0.000,17845,9864
1775622547.077,0.0026,1170.36,1.00,0.0000,0.000,18041,10143
1775622547.113,0.0023,50.16,1.00,0.0000,0.000,18259,10285
1775622547.148,0.0023,73.78,1.00,0.0000,0.000,17850,10331
1775622547.182,0.0024,437.39,1.00,0.0000,0.000,17926,9800
1775622547.219,0.0030,82.81,1.00,0.0000,0.000,18043,10216
1775622547.260,0.0029,387.30,1.00,0.0000,0.000,18296,9889
1775622547.296,0.0029,68.20,1.00,0.0000,0.000,17731,9740
1775622547.331,-0.0231,49.41,1.00,0.0000,0.000,17823,12435
1775622547.365,-0.0058,101.19,1.00,0.0000,0.000,17729,9495
1775622547.401,0.0005,1819.96,1.00,0.0000,0.000,17860,10102
1775622547.438,0.0018,51.56,1.00,0.0000,0.000,17971,9923
1775622547.481,0.0023,68.89,1.00,0.0000,0.000,17824,10050
1775622547.518,0.0023,82.68,1.00,0.0000,0.000,17927,9771
1775622547.554,0.0024,83.37,1.00,0.0000,0.000,18123,10018
1775622547.590,0.0028,1406.85,1.00,0.0000,0.000,17777,9739
1775622547.625,0.0027,347.66,1.00,0.0000,0.000,17949,9928
1775622547.659,0.0029,227.31,1.00,0.0000,0.000,17924,9903
1775622547.698,0.0022,161.58,1.00,0.0000,0.000,17983,9339
1775622547.734,0.0024,240.55,1.00,0.0000,0.000,18008,10026
1775622547.769,0.0026,92.45,1.00,0.0000,0.000,17809,9699
1775622547.803,0.0025,54.72,1.00,0.0000,0.000,17665,9621
1775622547.840,0.0025,92.14,1.00,0.0000,0.000,17778,10080
1775622547.878,0.0025,70.07,1.00,0.0000,0.000,17719,9698
1775622547.924,0.0028,188.77,1.00,0.0000,0.000,18089,10179
1775622547.959,0.0024,145.10,1.00,0.0000,0.000,17975,9977
1775622547.994,0.0021,106.06,1.00,0.0000,0.000,18027,9728
1775622548.030,0.0025,241.89,1.00,0.0000,0.000,18015,9883
1775622548.065,0.0024,41.73,1.00,0.0000,0.000,18365,10032
1775622548.106,0.0028,284.19,1.00,0.0000,0.000,17942,9969
1775622548.142,0.0027,721.41,1.00,0.0000,0.000,17962,10218
1775622548.176,0.0023,114.13,1.00,0.0000,0.000,17718,9647
1775622548.212,0.0028,70.39,1.00,0.0000,0.000,17923,10350
1775622548.253,0.0026,85.06,1.00,0.0000,0.000,17884,9957
1775622548.287,0.0031,95.33,1.00,0.0000,0.000,17967,10192
1775622548.326,0.0029,187.52,1.00,0.0000,0.000,18039,10312
1775622548.362,0.0025,924.44,1.00,0.0000,0.000,18002,9578
1775622548.397,0.0026,70.56,1.00,0.0000,0.000,17762,9828
1775622548.433,0.0027,84.80,1.00,0.0000,0.000,17969,9938
1775622548.470,0.0029,109.66,1.00,0.0000,0.000,17913,10102
1775622548.506,0.0031,189.27,1.00,0.0000,0.000,17895,10429
1775622548.544,0.0029,83.77,1.00,0.0000,0.000,17957,10067
1775622548.581,0.0030,145.09,1.00,0.0000,0.000,17897,9870
1775622548.616,0.0029,108.25,1.00,0.0000,0.000,18032,10109
1775622548.653,0.0025,92.17,1.00,0.0000,0.000,17902,9773
1775622548.690,0.0028,121.16,1.00,0.0000,0.000,17884,10090
1775622548.726,0.0028,73.08,1.00,0.0000,0.000,17907,10048
1775622548.764,0.0026,540.23,1.00,0.0000,0.000,17982,9746
1775622548.801,0.0026,122.28,1.00,0.0000,0.000,18042,9837
